Location,Name,Date,ID,Prize
,G2A.com ShowMatch #1 ,2015-05-16,1760,
Online (China),DreamHack Masters Malmö 2017 China Open Qualifier,2017-06-16,2908,
Online,Playing Ducks HomeMasters 2 Qualifier,2017-04-30,2837,
,European Championship 2013 Qualification Round 1,2013-09-08,1188,
Helsinki,Assembly Winter 2017,2017-02-03,2649,"$15,000"
"Katowice, Poland",IEM Katowice 2016,2016-03-02,2036,"$250,000"
Vilnius,GameOn 2016,2016-10-29,2501,"$6,720"
,Killing Spree,2014-06-29,1402,
Sweden,GAMERZ Season 1: Nordic Edition,2017-05-21,2870,
,ESL Pro League Season 4 - Europe Wild Card,2016-08-15,2370,
,DreamHack Open Summer 2015 Qualifier #1,2015-05-23,1775,
,The Nordic Games #2 Danish qualifier,2013-02-20,1069,
,Telkom Do Gaming Insta-Clash Cup November 2013,2013-11-13,1260,
,DreamHack Valencia 2014,2014-07-18,1424,
,CyberPowerPC Summer 2016 Qualifier #1,0,2273,
Online,Razer Rising Stars South American League Season 1,2016-05-17,2252,"$10,000"
,ROG School CS:GO,2015-04-20,1728,
,King of Nordic Season 2,2015-10-09,1973,
Online,WESG 2017 Southern South America,2017-11-15,3332,
"Helsinki, Finland",Assembly Summer 2015 AMD CS:GO Challenge,2015-07-29,1833,"$10,000"
,Fragbite Masters 2014 Qualifier #4,2014-03-07,1331,
,Imbarena Game Ring Cup Final,2014-01-19,1289,
,WESG 2016 South &amp; East Africa,2016-08-14,2374,
"Burbank, California, USA",ESEA MDL Season 23 North America Finals,2017-01-05,2640,
Online,WCA 2017 North America Qualifier #2,2017-08-11,2937,
,Binary Dragons Cup 5,2017-03-19,2733,"$2,200"
"Atlanta, Georgia, USA",DreamHack Open Atlanta 2017,2017-07-21,2571,"$100,000"
,Go4CS:GO Monthly Finals July 2013,2013-08-29,1183,
,ESL Pro Series Germany Spring 2014 Cup #2,2014-02-24,1320,
Online,MLG Regional Minor North America Qualifier,2016-05-08,2247,
"Bangalore, India",Conquerors Insignia 2017,2017-11-04,3324,"$8,494"
,SoCal Revival #2,2014-05-03,1360,
,RaidCall EMS One Spring 2013 Cup #2,2013-02-20,1070,
Asia-Pacific,ZEN Esports Network League Season 1,2017-03-04,2553,
,Call of the North Northern Arena Montreal Qualifier,0,2531,
Online,D!ngIT $2000 Weekly Cup #35,2016-01-25,2125,"$2,000"
Online,Operation: Kinguin #3,2016-04-27,2232,"$20,000"
,Acer A-Split Invitational powered by Intel,2014-12-19,1590,
,MSI Beat it! 2013 EU Open Qualifier #1,2013-08-20,1176,
,Gaming.dk League by SteelSeries Season 7,2013-09-03,1190,
,Assembly Winter 2013,2013-02-22,1072,
"Makati, Philippines",GEXT 2017 SEA Finals,2017-11-25,3349,"$5,000"
,CyberGamer Pro League Season 3,2014-01-20,1290,
Online,PGL Season 1,2015-08-26,1901,"$25,000 + 4 spots for the $85,000 LAN Finals"
,MSI Beat it! 2013 SEA Qualifier,2013-11-22,1268,
Online (Russia),WESG 2017 Russia Qualifier 2,2017-10-11,3244,
Online (Brazil),ESL Brazil Premier League #3,2017-06-02,2892,"$6,000"
"Montreal, Canada",Northern Arena 2016 - Montreal,2016-11-10,2286,"$100,000"
,Red Dot Invitational,2015-12-01,2046,
,Insomnia 53,2014-11-23,1557,
,Do Gaming League Championship 2013,2013-10-05,1224,
Online,ESL One Cologne 2017 - Europe Closed Qualifier,2017-05-20,2792,
,IEM Poland Qualifier #2,2012-12-17,1036,
,CyberGamer Pro League Season 9,2016-10-23,2536,
"Sydney, Australia",ZEN League Season 2 Finals,2017-11-17,3166,"$24,300"
"Belgrade, Serbia",AdriaMasters by PVPRO.com Finals,2016-12-10,2612,"$1,610"
,XLParty 2012,2012-12-16,1035,
,SL i-League S2 Americas Qualifier,2016-08-08,2364,
,ESL One Katowice 2015 Polish Qualifier,2015-02-03,1649,
,Aftonbladet Fight Night #2,2015-06-09,1804,
,99Damage Arena #19,2016-01-07,2098,
,UnderDogs #4,2016-07-25,2333,"$2,765"
"Lillestrøm, Norway",Telenor League Winter 2016,2016-11-12,2565,"$9,525"
,NVIDIA Showmatch,2015-01-22,1636,
,ESEA Intermediate Season 15 Europe,2013-11-22,1255,
Online (East Asia),DreamHack Masters Malmö 2017 East Asia Open Qualifier,2017-06-16,2907,
Online (LatAm),AMD Red League LatAm North,2017-06-25,2855,"$1,500"
,WinOut.net 20k Qualifier #2,2015-08-12,1859,
,DreamHack Summer 2014 pre-qualifier #1,2014-05-21,1367,
Online,Hitbox Challenger Cup,2016-03-21,2185,"$5,000"
"Melbourne, Australia",Crown&apos;s Counter-Strike Invitational,2015-10-10,1949,
,SLTV StarSeries V,2013-02-12,1056,
"London, United Kingdom",Gfinity 2015 Spring Masters 2,2015-05-16,1619,"$50,000"
,ESWC 2015 China,2015-06-05,1797,
Online,Rising Stars Europe #1,2016-01-30,2127,"$3,000"
"Lodz, Poland",ESL Polish Championship Season 11 Finals,2015-10-03,1953,
,CS Select #11,2015-05-09,1750,
"Bucharest, Romania",PGL Regional Minor Championship Europe - ELEAGUE Major 2017,2016-11-04,2504,"$50,000"
,ESL Pro Series Germany Winter 2013 Cup #5,2013-11-04,1253,
,Rising Stars Asia #1,2015-01-23,1637,"$1,000"
Online (CZ &amp; SK),ROG COOL League Season 2,2017-09-23,3209,"$1,142"
Online,Milan Games Week 2015 League by FACEIT,2015-10-01,1957,
,ESPORTSM 2015,2015-05-31,1791,
,ESL One New York 2016 North America Qualifier,2016-09-12,2413,
,ESWC 2012,2012-11-02,1003,
,Balkan SuperCup #2 LAN Finals,2015-09-13,1931,
,AFKG MENA Championship,2015-12-18,2089,
,EPICENTER: Moscow CIS Open Qualifier,0,2394,
,European Championship 2014 Qualification Round 2,2014-08-22,1453,
,IeSF 2017 Serbia Qualifier,2017-09-17,3191,
Philadelphia,Fragadelphia 10,2017-01-15,2650,"$30,500"
"Svitavy, Czech Republic",Hitpoint Finals 12,2017-07-01,2964,"$3,007"
,WinOut.net 20k Last Chance Qualifier,2015-09-04,1924,
,DreamHack Open Summer 2015 Qualifier #2,2015-05-24,1777,
,CS:GO Danmark League #1,0,2250,
,Tuddinn Winter 2016 LAN Finals,0,2594,
,RGN New Years Open,2015-01-12,1627,
,SL i-League Season 3 China Qualifier,2017-02-23,2660,
,Hitbox Arena Showdown Invitational,2015-06-07,1802,
,EMS One Katowice German National Finals,2014-02-14,1311,
,ESEA Open Season 24 Brazil,2017-04-06,2750,"$2,475"
Online,ROG MASTERS 2016 Southeast Asia Qualifier,2016-09-24,2456,
Lodz,Lordi&apos;S Game Cup,2017-07-11,2990,"$4,000"
Online,Liga PRO Alienware GamersClub MAY/17,2017-05-23,2877,"$2,300"
Online (EU &amp; CIS),MakeMy.Bet Championship #1 Closed Qualifier,2017-09-11,3175,
,Subaru Invitational 2017,2017-05-13,2844,"$20,000"
Online,iBUYPOWER Invitational Spring 2016,2016-03-19,2168,"$16,000"
,D!ngIT $2000 Weekly Cup #21,2015-10-12,1974,
"Beijing, China",CS:GO Super League 2017 - Spring Season Finals,2017-05-27,2873,
,PGL Regional Minor Championship Europe Qualifiers,2016-01-06,2097,
,ESEA Intermediate Season 16 Europe,2014-06-09,1384,
,CyberGamer Qualifier Cup #2 by IN WIN,2012-09-21,974,
,King of Nordic Season 6,0,2686,
,Fragadelphia 5,2015-06-22,1819,
,GG Cup Finals Barcelona Games World,0,2500,
,CCS Kick-off Season Romanian Qualifier,2015-02-28,1678,
,QuickShot Arena #4,2015-08-26,1903,
,Go4CS:GO Cup #43,2013-05-12,1126,
,ESL South East Europe Championship Season 3 Finals,0,2272,
,World Championships 2016 South American Qualifier,2016-07-06,2305,
"Goyang, South Korea",WESG 2016 Asia-Pacific Regional Finals,2016-11-10,2453,"$75,000"
,East Asian Championship 2013,2013-09-07,1191,
Online (Denmark),Dust2.dk eOddset Masters #13,2017-09-24,3202,
,Gauntlet: Fight for the Crown,0,2430,
,CEVO Professional Season 5 Placement,2014-07-01,1406,
Online (Asia),fpsGOD Super League Winter,2016-10-26,2533,"$10,000"
,Yoggi Yalla Cup 2017,2017-06-10,2757,"$5,707"
"Online (TW, HK &amp; MO)","WESG 2017 TW, HK &amp; MO",2017-11-04,3336,
Online,ECS Season 2 EU Development League Open Qualifier #2,2016-08-14,2373,
,EMS One Katowice Polish Qualifier Cup #3,2014-02-01,1300,
Online,QuickShot Arena #30,2016-11-16,2582,"$1,500"
Online,WCA 2016 Asia-Pacific Qualifier,2016-04-15,2217,
,Ballistix Challenge,2015-07-10,1842,
,GamersImpact Charity Drive,2014-11-15,1545,
,BenQ All-Star Showmatch #8,0,2233,
Online (NA),ESEA MDL Season 25 North America,2017-06-06,2880,"$2,500"
,ESEA MDL Season 24 Australia,2017-04-04,2748,"$5,000"
,Multifrags Invitational 2015,2015-08-07,1873,
,Americas Minor - ELEAGUE Major 2017 - Closed Qualifier,2016-11-08,2551,
,xfunction Masters Season III,2015-07-26,1857,
,DreamHack Open Summer 2017 North America Closed Qualifier,2017-05-21,2865,
,CCS Kick-off Season Closed Qualifier #2,2015-03-07,1680,
Online,Hitbox Challenger Cup #2,2016-06-27,2296,"$10,000"
,MAXfps.no Open,2013-04-14,1103,
"Columbus, Ohio, USA",MLG Regional Minor Championship Americas,2016-05-19,2223,"$50,000"
,EsportFest 2016,2016-03-12,2169,
,Go4CS:GO Cup #120,2014-11-09,1535,
Online (EU &amp; CIS),Stream.me Gauntlet: CIS vs EU #8,2017-06-26,2961,"$1,500"
"Stockholm, Sweden",ESL Nordic Nationals Winter 2015 Finals,2015-12-19,2060,"$15,000"
Online (LATAM),ESEA Open Season 25 Latin America,2017-08-09,3042,"$1,600"
Online,ESL UK Premiership Season 2,2015-08-17,1895,
Online (Norway),Nordic Championship Season 2 Norway Qualifier,2017-10-21,3279,
,GamePlan Pro League,2015-03-08,1676,
Rosario,Liga TyC Sports Aorus Finals,2017-09-02,3155,"$1,500"
,ESEA Invite Season 17 Global Finals,2014-12-06,1563,
,FACEIT Saturday Spring Cup #2,2013-03-23,1092,
,Areena #6 by ROCCAT,2014-10-05,1498,
"Copenhagen, Denmark",Copenhagen Games 2016,2016-03-25,2059,
,Game Show CS:GO League,2014-09-15,1482,
,MSI Beat it! 2013 EU Open Qualifier #4,2013-08-23,1179,
Online,WCA 2016 EU Closed Qualifier,2016-07-18,2321,
,ESEA Open Season 24 Asia-Pacific,2017-04-07,2752,"$2,000"
Europe (Online),iGame.com Nordic Invitational 2,2017-10-09,3265,"$8,000"
,Svecup Västerås,2013-05-25,1138,
"London, England, United Kingdom",Gfinity 3,2014-08-02,1437,"$45,000"
,SteelSeries CS:GO Calling,2014-02-16,1313,
(Online) Asia-Pacific,ROG MASTERS 2017 Asia-Pacific Open Qualifier,2017-08-26,3078,
,Color League by EIZO &amp; QPAD,2015-11-21,2026,
"London, United Kingdom",Gfinity 2015 Spring Masters 1,2015-03-20,1618,"$50,000"
"Bucharest, Romania",CCS Kick-off Season Finals,2015-04-24,1612,"$75,000"
Online,WESG 2016 France &amp; Monaco,2016-09-19,2445,
Online (Russia),WESG 2017 Russia Qualifier 1,2017-10-08,3243,
Online,Rising Stars Female,2016-02-05,2136,"$1,500"
,GameAgents League Season 1,2015-03-07,1688,
,ESL One Cologne 2014 North pre-qualifier,2014-06-30,1405,
,99Damage Arena #8,2015-05-26,1779,
,Eizo Challenge 2012,2012-10-27,1005,
Online (NA),ESL One New York 2017 North America Open Qualifier,2017-08-14,2967,
,SLTV ProSeries VI,2013-07-01,1160,
,FACEIT League 2 EU pre-qualifier #3,2014-08-23,1457,
Online,ECS Season 3 North America,2017-04-14,2729,
,Millenium Showmatch #3,2014-11-18,1547,
"Dallas, Texas, USA",ESL Pro League Season 5 Finals,2017-05-30,2557,"$750,000"
,Game On King of the Hill,2016-01-17,2117,
,DreamHack Winter 2014 EU pre-qualifier #1,2014-10-18,1519,
Changzhou,WESG 2016 World Finals,2017-01-12,2564,"$1,500,000"
"Hanoi, Vietnam",eXTREMESLAND 2017 Vietnam Regional Finals,2017-09-10,3173,
Online (EU),ECS Season 4 EU Promotion,2017-09-23,3057,
,DreamHack Masters Las Vegas 2017 South East Asia Qualifier,0,2590,
,Jimm&apos;s CS:GO Challenge,2015-10-17,1981,
,ESL Pro League Season 5 North America Relegation,2017-05-16,2797,
,ESEA Invite Season 14 Global Finals,2013-08-17,1174,
,ESPORTSM 2013/2014 - Qualifier #7,2014-05-12,1363,
"Hamburg, Germany",Legend Series #2 Finals,2017-06-24,2890,"$3,360"
,King of Nordic Season 1,2015-05-05,1738,
"Krefeld, Germany",Predator Masters 3,2016-11-03,2431,"$50,000"
Online,DreamHack Masters Malmö 2016 Europe Open Qualifier #1,2016-03-12,2175,
,Hitbox CS:GO Championship by E-Frag.net,2014-11-26,1562,
,King of Nordic&apos;s Challenger Cup at DigitalityX,0,2298,
Europe (Online),CSGOFAST.COM CUP 1,2017-10-30,3293,"$10,000"
,Rising Stars Balkan #1,2015-01-29,1609,"$1,000"
,CS Select #1,2015-02-10,1656,
Online,GameAgents League Season 2,2015-08-10,1881,"$25,000"
Online,WCA Season 1 Qualifier,2016-03-15,2177,
"Sofia, Bulgaria",ESL South East Europe Championship Season 5 Finals,2017-06-24,2917,"$5,599"
,RaidCall EMS One Spring 2013 Cup #4,2013-03-13,1082,
"Kiev, Ukraine",SL i-League Invitational #1,2016-05-19,2187,"$100,000"
"Brno, Czech Republic",Czech Championship 2017,2017-11-10,3339,"$4,770"
"Birmingham, England",UK Masters Season 2 Finals,2016-12-09,2593,"$14,000"
Online,Balkan Championship Season 3,2016-03-22,2188,"$4,000+"
Online,ECS Season 1,2016-04-10,2208,
Online (EU),DreamHack Open Valencia 2017 Europe Open Qualifier,2017-06-24,2944,
"Santa Ana, California, USA",iBUYPOWER Cup 2015,2015-11-14,1960,"$100,000"
,D!ngIT $2000 Weekly Cup #17,2015-09-14,1933,
,The Nordic Games #1 Danish qualifier,2013-01-20,1048,
Online (EU &amp; CIS),Stream.me Gauntlet: CIS vs EU #14,2017-11-08,3343,"$1,500"
