Match ID,Event ID,Demo ID
2306333,2494,24424
2276196,1238,15952
2290462,1319,
2296351,1742,19469
2296525,1767,
2272140,1209,15820
2237047,1068,14824
2313296,3071,30947
2293463,1541,
2226306,1060,
2299425,2023,
2296002,1761,
2315146,3211,32368
2316804,3059,34333
2312953,3002,30606
2301243,2119,
2306817,2546,24835
2305320,2430,
2316391,3305,33912
2199348,982,
2296554,1814,
2294110,1577,
2316847,3049,34112
2303893,2349,22283
2307629,2664,
2262977,1173,
2308887,2730,26731
2306612,2454,24655
2303415,2291,21920
2307810,2659,25828
2300010,2086,19937
2311457,2569,29431
2303842,2364,22300
2309903,2782,27753
2292897,1480,17339
2243811,1101,
2293161,1517,
2298418,1881,
2294649,1696,
2300602,2102,19197
2278609,1257,16106
2307385,2564,25382
2306016,2432,24177
2295674,1742,19341
2291301,1355,16726
2197582,1013,14260
2315018,3138,32195
2279676,1266,
2310691,2844,28513
2294033,1602,
2311259,2872,29059
2310577,2843,28372
2295141,1699,
2317644,3072,35193
2295555,1674,
2311477,2880,29272
2297345,1873,
2304123,2349,22545
2295182,1712,
2292564,1420,
2314326,3055,31692
2315070,3058,32356
2221166,1033,14414
2233155,1056,14694
2313485,2879,31099
2257695,1156,
2303450,2315,
2192671,1021,14177
2291322,1334,16722
2311959,2928,29671
2308583,2712,26399
2292314,1448,
2309378,2770,27195
2296543,1742,19524
2293078,1510,
2299191,1959,20134
2294233,1660,
2292677,1482,17189
2313302,3004,30974
2316262,3302,
2308159,2637,26233
2308622,2703,26530
2291986,1415,
2315782,3122,33089
2313673,2866,31310
2313900,2684,31616
2293108,1512,
2306382,2546,
2317350,3323,34733
2174478,986,
2311382,2886,29120
2297480,1890,
2301841,2027,20634
2306153,2540,24346
2293340,1526,17558
2305364,2311,23663
2317573,3320,35017
2297796,1914,18690
2314066,3074,31450
2311626,2897,29348
2312721,2928,30347
2316241,3048,33542
2315005,3195,32711
2296919,1744,
2298178,1942,20305
2305338,2368,23593
2303141,2109,21692
2306601,2535,24621
2313728,3108,31353
2314043,2866,34433
2311819,2897,29548
2313693,2866,31408
2298385,1955,
2300893,2137,19605
2299568,2032,
2315451,3049,32695
2307648,2649,25627
2287742,1301,
2203975,1038,
2316421,3250,33770
2296414,1742,19496
2305011,2369,23333
2295053,1610,18195
2300039,2089,
2297726,1840,18920
2292536,1420,
2313926,2866,31764
2235544,1056,14792
2293751,1589,
2293860,1624,17709
2305110,2450,23395
2313820,3120,31461
2309091,2738,26893
2253103,1155,15434
2292834,1489,
2290723,1329,
2291342,1360,
2315538,3195,32850
2298669,1979,
2252501,1125,15412
2298436,1881,
2306609,2454,24652
2231872,1056,14662
2315516,3047,32886
2308988,2741,26826
2234060,1056,14756
2301928,2165,
2297360,1871,
2293174,1469,
2316068,3260,33456
2298069,1871,
2293932,1629,17739
2301564,2177,20374
2291564,1379,
2315257,3048,32529
2299508,2035,
2298711,1961,
2292111,1396,17007
2312037,2880,29733
2292113,1396,17009
2304704,2404,22976
2299480,2024,
2316809,3059,34449
2248759,1142,15232
2300706,2141,
2299341,1934,
2308833,2699,28468
2316326,3307,33660
2290074,1315,
2316346,3196,33692
2310767,2828,28508
2290575,1317,16386
2226348,1060,
2314120,3096,31487
