Date,Time,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID
2/23/14,18:50:00,Mirage,4732,CT,21,8,7,6,5273,T,19,7,8,4,2290485
2/23/14,18:50:00,Nuke,4732,T,21,9,6,6,5273,CT,18,6,9,3,2290485
8/12/14,18:30:00,Inferno,5411,T,10,4,6,0,5617,CT,16,11,5,0,2292343
8/12/14,16:00:00,Inferno,5121,CT,16,15,1,0,5572,T,10,0,10,0,2292323
8/12/14,18:30:00,Dust2,5642,T,6,3,3,0,5568,CT,16,12,4,0,2292344
8/12/14,17:20:00,Dust2,5121,CT,16,11,5,0,4742,T,14,4,10,0,2292324
8/12/14,20:30:00,Dust2,5568,T,16,10,6,0,5617,CT,11,5,6,0,2292345
8/12/14,19:00:00,Dust2,5107,T,16,14,2,0,5076,CT,3,1,2,0,2292328
8/12/14,19:00:00,Mirage,5107,T,16,9,7,0,5076,CT,9,6,3,0,2292328
8/12/14,18:15:00,Mirage,4759,CT,15,6,9,0,4532,T,15,9,6,0,2292325
8/13/14,2:00:00,Cache,5700,CT,14,8,6,0,5652,T,16,7,9,0,2292348
8/13/14,4:00:00,Cache,5652,T,16,6,10,0,5710,CT,11,9,2,0,2292351
8/13/14,4:00:00,Cache,5700,CT,16,4,12,0,5730,T,13,11,2,0,2292349
8/13/14,18:00:00,Inferno,5077,CT,14,8,6,0,5755,T,16,7,9,0,2292347
8/13/14,18:00:00,Dust2,5077,CT,10,8,2,0,5755,T,16,7,9,0,2292347
8/14/14,7:20:00,Inferno,5310,T,1,1,0,0,4456,CT,16,14,2,0,2292336
8/14/14,3:00:00,Cache,4431,CT,10,9,1,0,5454,T,16,6,10,0,2292353
8/14/14,14:20:00,Cobblestone,5231,CT,16,12,4,0,5593,T,6,3,3,0,2292360
8/14/14,18:00:00,Nuke,5284,CT,16,14,2,0,4784,T,1,1,0,0,2292363
8/14/14,7:00:00,Dust2,4411,T,16,11,5,0,5741,CT,7,4,3,0,2292335
8/14/14,10:00:00,Inferno,4548,T,6,3,3,0,4608,CT,16,12,4,0,2292338
8/14/14,13:00:00,Cobblestone,4991,CT,16,9,7,0,5231,T,7,6,1,0,2292340
8/14/14,9:45:00,Nuke,4674,CT,16,13,3,0,5569,T,2,2,0,0,2292337
8/14/14,12:30:00,Overpass,5378,CT,16,9,7,0,5593,T,7,6,1,0,2292339
8/14/14,16:00:00,Dust2,5284,T,18,11,4,3,5752,CT,22,4,11,7,2292342
8/14/14,11:00:00,Cache,4548,CT,16,11,5,0,5569,T,5,4,1,0,2292356
8/14/14,8:30:00,Mirage,5310,CT,16,11,5,0,5741,T,4,4,0,0,2292354
8/14/14,15:30:00,Dust2,5422,CT,16,9,7,0,4784,T,9,6,3,0,2292341
8/15/14,18:30:00,Nuke,5284,T,1,1,0,0,5422,CT,16,14,2,0,2292365
8/15/14,10:10:00,Inferno,4674,CT,16,8,8,0,4608,T,12,7,5,0,2292357
8/15/14,15:45:00,Cache,5231,T,2,2,0,0,5378,CT,16,13,3,0,2292362
8/15/14,11:45:00,Dust2,4548,CT,17,5,10,2,4608,T,19,10,5,4,2292359
8/15/14,17:00:00,Mirage,5752,T,16,5,11,0,5422,CT,14,10,4,0,2292364
8/15/14,13:55:00,Overpass,4991,T,19,5,10,4,5378,CT,16,10,5,1,2292361
8/15/14,2:30:00,Mirage,5700,T,13,8,5,0,5554,CT,16,7,9,0,2292366
8/15/14,7:30:00,Cobblestone,4411,CT,6,6,0,0,4456,T,16,9,7,0,2292355
8/15/14,8:50:00,Overpass,5310,T,11,5,6,0,4411,CT,16,10,6,0,2292358
8/16/14,11:25:00,Dust2,4456,T,9,4,5,0,5422,CT,16,11,5,0,2292370
8/16/14,11:25:00,Inferno,4456,CT,8,1,7,0,5422,T,16,14,2,0,2292370
8/16/14,16:30:00,Nuke,5752,CT,16,8,8,0,4411,T,8,7,1,0,2292372
8/16/14,16:30:00,Dust2,5752,CT,14,7,7,0,4411,T,16,8,8,0,2292372
8/16/14,16:30:00,Cobblestone,5752,CT,14,8,6,0,4411,T,16,7,9,0,2292372
8/16/14,7:25:00,Inferno,4991,T,16,6,10,0,4608,CT,11,9,2,0,2292369
8/16/14,7:25:00,Dust2,4991,T,7,3,4,0,4608,CT,16,12,4,0,2292369
8/16/14,7:25:00,Nuke,4991,T,16,10,6,0,4608,CT,14,5,9,0,2292369
8/16/14,17:00:00,Mirage,5105,CT,16,11,5,0,5075,T,4,4,0,0,2292373
8/16/14,17:00:00,Inferno,5105,CT,16,9,7,0,5075,T,8,6,2,0,2292373
8/16/14,17:00:00,Inferno,5078,T,16,6,10,0,5112,CT,12,9,3,0,2292368
8/16/14,17:00:00,Dust2,5078,T,16,11,5,0,5112,CT,6,4,2,0,2292368
8/16/14,13:45:00,Dust2,4674,T,16,8,8,0,5378,CT,14,7,7,0,2292371
8/16/14,13:45:00,Mirage,4674,CT,16,10,6,0,5378,T,12,5,7,0,2292371
8/17/14,18:00:00,Inferno,5754,T,16,11,5,0,5074,CT,6,4,2,0,2292379
8/17/14,18:00:00,Dust2,5754,T,16,12,4,0,5074,CT,4,3,1,0,2292379
8/17/14,9:55:00,Inferno,4674,T,16,11,5,0,4411,CT,10,4,6,0,2292377
8/17/14,9:55:00,Nuke,4674,CT,6,6,0,0,4411,T,16,9,7,0,2292377
8/17/14,9:55:00,Cobblestone,4674,CT,14,8,6,0,4411,T,16,7,9,0,2292377
8/17/14,15:00:00,Dust2,5080,CT,16,14,2,0,5069,T,1,1,0,0,2292378
8/17/14,15:00:00,Inferno,5080,CT,16,13,3,0,5069,T,2,2,0,0,2292378
8/17/14,7:20:00,Dust2,4991,CT,16,9,7,0,5422,T,11,6,5,0,2292374
8/17/14,7:20:00,Overpass,4991,T,16,4,12,0,5422,CT,14,11,3,0,2292374
8/17/14,14:00:00,Cobblestone,4991,CT,11,11,0,0,4411,T,16,4,12,0,2292382
8/17/14,14:00:00,Cache,4991,CT,16,11,5,0,4411,T,8,4,4,0,2292382
8/17/14,14:00:00,Inferno,4991,CT,13,9,4,0,4411,T,16,6,10,0,2292382
8/18/14,19:00:00,Mirage,5079,CT,16,10,6,0,5067,T,6,5,1,0,2292381
8/18/14,19:00:00,Inferno,5079,T,2,2,0,0,5067,CT,16,13,3,0,2292381
8/18/14,19:00:00,Dust2,5079,CT,16,5,11,0,5067,T,14,10,4,0,2292381
8/18/14,3:00:00,Mirage,5700,CT,7,5,2,0,5454,T,16,10,6,0,2292383
8/19/14,20:00:00,Cache,4554,T,16,8,8,0,5757,CT,12,7,5,0,2292397
8/19/14,20:00:00,Dust2,4554,CT,16,6,10,0,5757,T,13,9,4,0,2292397
8/19/14,17:00:00,Mirage,4494,CT,16,9,7,0,4456,T,12,6,6,0,2292391
8/19/14,4:30:00,Dust2,5454,T,7,5,2,0,5652,CT,16,10,6,0,2292388
8/19/14,18:50:00,Mirage,5449,T,10,5,5,0,5758,CT,16,10,6,0,2292392
8/19/14,18:50:00,Dust2,5449,CT,14,9,5,0,5758,T,16,6,10,0,2292392
8/19/14,19:00:00,Train,5422,CT,16,12,4,0,4456,T,11,3,8,0,2292384
8/19/14,1:30:00,Dust2,5543,CT,16,8,8,0,5095,T,10,7,3,0,2292386
8/19/14,18:30:00,Mirage,5578,T,1,1,0,0,4554,CT,16,14,2,0,2292389
8/19/14,3:00:00,Mirage,5543,T,16,7,9,0,5454,CT,9,8,1,0,2292385
8/19/14,18:30:00,Nuke,5571,CT,12,9,3,0,5757,T,16,6,10,0,2292390
8/19/14,3:30:00,Dust2,5700,CT,16,8,8,0,5709,T,14,7,7,0,2292387
8/19/14,20:00:00,Mirage,5073,CT,16,15,1,0,5756,T,2,0,2,0,2292380
8/19/14,20:00:00,Nuke,5073,CT,16,9,7,0,5756,T,9,6,3,0,2292380
8/20/14,2:00:00,Train,5543,T,16,5,11,0,5671,CT,13,10,3,0,2292399
8/20/14,2:00:00,Cache,5710,T,16,9,7,0,5709,CT,7,6,1,0,2292400
8/20/14,19:40:00,Cache,5449,T,9,2,7,0,4742,CT,16,13,3,0,2292402
8/20/14,19:40:00,Inferno,5449,T,16,6,10,0,4742,CT,11,9,2,0,2292402
8/20/14,19:40:00,Mirage,5449,CT,16,12,4,0,4742,T,4,3,1,0,2292402
8/20/14,17:00:00,Dust2,4494,CT,10,4,6,0,5758,T,16,11,5,0,2292398
8/20/14,17:00:00,Mirage,4494,T,16,12,4,0,5758,CT,4,3,1,0,2292398
8/20/14,17:00:00,Overpass,4494,T,16,11,5,0,5758,CT,7,4,3,0,2292398
8/20/14,3:00:00,Dust2,5700,CT,16,13,3,0,5095,T,4,2,2,0,2292401
8/21/14,22:00:00,Overpass,4411,T,16,8,8,0,4494,CT,9,7,2,0,2292413
8/21/14,22:00:00,Dust2,4411,T,16,11,5,0,4494,CT,10,4,6,0,2292413
8/21/14,3:00:00,Mirage,5700,T,16,12,4,0,5454,CT,12,3,9,0,2292411
8/21/14,18:50:00,Dust2,4494,CT,12,6,6,0,5569,T,16,9,7,0,2292404
8/21/14,18:50:00,Overpass,4494,T,16,11,5,0,5569,CT,14,4,10,0,2292404
8/21/14,18:50:00,Mirage,4494,T,16,8,8,0,5569,CT,10,7,3,0,2292404
8/21/14,16:00:00,Nuke,4411,CT,16,14,2,0,5727,T,3,1,2,0,2292403
8/21/14,16:00:00,Dust2,4411,CT,19,2,13,4,5727,T,17,13,2,2,2292403
8/21/14,19:00:00,Inferno,4922,CT,16,12,4,0,5728,T,3,3,0,0,2292414
8/21/14,2:00:00,Season,5231,T,4,4,0,0,5543,CT,16,11,5,0,2292409
8/21/14,17:00:00,Inferno,5758,CT,16,12,4,0,5449,T,9,3,6,0,2292407
8/21/14,17:00:00,Dust2,5758,T,16,10,6,0,5449,CT,14,5,9,0,2292407
8/22/14,15:00:00,Mirage,5141,T,16,9,7,0,5116,CT,7,6,1,0,2292412
8/22/14,15:00:00,Inferno,5141,T,13,5,8,0,5116,CT,16,10,6,0,2292412
8/22/14,15:00:00,Dust2,5141,T,19,5,10,4,5116,CT,17,10,5,2,2292412
8/22/14,3:00:00,Inferno,5231,T,16,12,4,0,5086,CT,6,3,3,0,2292415
8/22/14,18:25:00,Mirage,5577,T,16,9,7,0,5306,CT,14,6,8,0,2292418
8/22/14,18:25:00,Dust2,5577,T,16,8,8,0,5306,CT,13,7,6,0,2292418
8/22/14,3:00:00,Dust2,5752,CT,1,1,0,0,5700,T,16,14,2,0,2292420
8/22/14,19:30:00,Inferno,4759,CT,16,13,3,0,5569,T,5,2,3,0,2292395
8/22/14,19:30:00,Mirage,4759,T,16,8,8,0,5569,CT,13,7,6,0,2292395
8/22/14,2:00:00,Inferno,5752,T,16,11,5,0,5554,CT,4,4,0,0,2292421
8/23/14,17:40:00,Mirage,4894,T,14,2,12,0,5125,CT,16,13,3,0,2292433
8/23/14,20:30:00,Inferno,5480,CT,16,10,6,0,4800,T,10,5,5,0,2292437
8/23/14,20:30:00,Mirage,5480,T,16,11,5,0,4800,CT,8,4,4,0,2292437
