ID,Name,Country,First Name,Last Name
1,zet,Sweden,Marcus,Sundstr̦m
2,RobbaN,Sweden,Robert,Dahlstr̦m
3,allen,Sweden,Jimmy,Allen
4,walle,Sweden,Dennis,Wallenberg
5,Tentpole,Sweden,Kristoffer,Nordlund
6,wazorN,Denmark,Jack,Henriksen
7,Friis,Denmark,Michael,Jłrgensen
8,anizz,Denmark,Daniel,Aniff
9,FaagaN,Denmark,Rasmus,Młller Thomsen
10,ArcadioN,Denmark,Timm,Henriksen
11,Vertigo,Norway,Thomas,Andresen
12,NeverLast,Norway,Nima,Nikbakht
13,RashiE,Norway,Raymond,Nielsen
14,jokki,Norway,Joakim,Tegle Tveit
15,m1kkis,Norway,Michael,Sokki
16,raxxe,Sweden,Sonny,Olofsson
17,Zyppe,Sweden,Samuel,Martinsson
18,xeron,Sweden,Niclas,Putero
19,MannR,Sweden,Joakim,Mannerst̴l
20,Rogga,Sweden,Robert,Forsberg
21,zonic,Denmark,Danny,Słrensen
22,MJE,Denmark,Muhamed,Eid
23,Sunde,Denmark,Christoffer,Sunde
24,ave,Denmark,Alexander,Holdt
25,whimp,Denmark,Jonas,Svendsen
26,ins,Sweden,Oskar,Holm
27,Archi,Sweden,Oscar,Torgersen
28,cArn,Sweden,Patrik,Sättermon
29,f0rest,Sweden,Patrik,Lindberg
30,dsn,Sweden,Harley,łrwall
31,lurppis,Finland,Tomi,Kovanen
32,contE,Finland,Juuso,Sajakoski
33,plastE,Finland,Samu,Aalto
34,ruuit,Finland,Max,Aspe
35,naSu,Finland,Niko,Kovanen
36,FYRR73,Sweden,Emil,Karlsson
37,THREAT,Sweden,Bj̦rn,Pers
38,kHRYSTAL,Sweden,Frej,Sj̦str̦m
39,GeT_RiGhT,Sweden,Christopher,Alesund
40,qp,Sweden,Finn,Sj̦str̦m
41,pronax,Sweden,Markus,Wallsten
42,danne,Sweden,Daniel,łhrlund
43,DELETEME,Sweden,DELETEME,
44,BARBARR,Sweden,Andr̩,M̦ller
45,tihOp,Finland,Tino,Puumala
46,toNppa,Finland,Toni,Luhtapuro
47,Shiri,Finland,Antti,Mäkinen
48,Kuppi,Finland,Janne,Kuparinen
49,barrack,Finland,Ilkka,Mäkinen
50,REAL,Norway,Sondre,Svanevik
51,syrtekz,Norway,Tommy,Skoglund
52,t0z,Norway,K̴re,Kristoffersen
53,noLA,Norway,Matis,Nygren
54,elemeNt,Norway,Ola,Moum
56,drei,Norway,Tor,Aksel Haugnes
57,xern,Norway,Ulv,Ares
58,trace,Denmark,Martin,Heldt
59,Aika,Germany,Adrian,Schunke
60,gerdi,Germany,Gerhard,Grimm
61,Frigh,Germany,Daniel,Enderle
62,threeman,Germany,Johannes,Droste
63,eddy,Germany,Eduard,Schmidt
64,todi,Germany,Christian,Hackmann
65,bara,Germany,Nils,Waldowski
66,blizker,Germany,Kai,Läneburg
67,ceLL,Germany,Marko,Knist
68,Hanso,Germany,Hannes,Dunkel
69,maKz,Austria,Rainer,Hofmann-Wellenhof
70,bauzka,Turkey,Sinan,Cavus
71,y4sin,Turkey,Yasin,Kovanci
72,capo,Germany,Marco,Mendola
73,pwl,Russia,Paul,Woltschenko
74,hyy,Germany,Andreas,Wolny
75,night,Germany,Arnt-Peter,Schuldt
76,hool,Germany,Julian,Walter
77,nooky,Germany,Andre,Utesch
78,rez0r,Germany,Dennis,Bethke
79,tronix,Germany,Knut-Ole,Mohr
80,zorn,Germany,Sebastian,Weber
81,rappy,Germany,Johan,von der Aue
82,Notorious,Germany,Tobias,Torka
83,beist,Germany,Linus,Gubenis
84,fRaNs,Germany,Frans,von der Aue
85,nuY,Germany,Witali,Martin
86,ninja,Germany,Vinh,Bui Thanh
87,Roark,Germany,Dominic,Cucic
88,RSK68,Poland,Filip,Filipowski
89,seraph,Germany,Direnc,łz
90,shuny,Germany,Christopher,Zacharias
91,svenXL,Germany,Sven,Schiller
92,approx,Germany,Manuel,Zeitz
93,mooN,Germany,Jan,Stolle
94,paN,Germany,Benjamin,von Mulert
95,roman,Germany,Roman,Ausserdorfer
96,Roman R.,Germany,Roman,Reinhardt
97,chrizzo,Germany,Christoph,Krämer
98,b4d,Germany,Bastian,Gaffron
99,cash,Germany,Christopher,Steen
100,ODIE,Germany,Max,Knappe
101,shiddy,Hungary,J̩r̫me,Täth
102,zonixx,Germany,Michele,K̦hler
103,anti,Germany,Bernd,Mai
104,apathy,Austria,Yilmaz,Seren
105,coLLy,Turkey,Burak,Dogramaci
106,sh4dow,Germany,Chris,Burghardt
107,syN,Germany,Bastian,Knoth
108,sephra,Germany,Michael,Zimmer
109,fai,Italy,Marco,Sinato
110,deus,Germany,Christian,Bierstedt
111,EkuaL,Germany,Patrick,Laukemper
112,d0m AZ,Germany,Dominik,Wrabetz
113,loomit,Germany,Christoph,Normann
114,rEcki,Germany,Lucas,Reckermann
115,nabeo,Germany,Christoph,Maurer
116,tankJr,Germany,Wolfgang,Maurer
117,zap,Germany,Christopher,Jahn
118,brundle,Germany,Ludwig,Arnold
119,koenig,Germany,Michael,Wassong
120,Tobson,Germany,Tobias,Lichtner
121,Toxi,Germany,Jan,Seggewił
122,seb,Germany,Sebastian,Ludwig
123,crp,Bosnia and Herzegovina,Adem,Marjanovic
124,preve,Germany,Christian,Sand
125,prophe7,Bosnia and Herzegovina,Alen,Kvakił
126,sash,Germany,Sascha,Keulertz
127,shoot,Germany,Johannes,Janocha
128,Troubley,Germany,Tobias,Tabbert
129,pace,Germany,Philipp,Herr
130,craked,Germany,Clemens,Rałbach
131,PHILIPP,Germany,Philipp,Reitzmann
132,pred,Germany,Marius,F̦rster
133,Relay,Germany,Lukas,Nething
134,gore,Austria,Franz,Burghardt
135,cyx,Germany,Antonio,Daniloski
136,gob b,Germany,Fatih,Dayik
137,Tixo,Germany,Manuel,Makohl
138,Kapio,Germany,Navid,Javadi
139,Blizzard,Germany,Christian,Chmiel
140,crash,Germany,Markus,Esser
141,ChRRRRp,Germany,Christian,Porten
142,divine,Germany,Christoph,Mohr
143,mason,Germany,Tim,Kleemann
144,p0pp3r,Germany,Marcel,Antonuccio
145,vio,Germany,Kim,Schämann
146,Ozstrik3r,France,Steeve,Flavigni
147,SIXER,France,Christophe,Xia
148,SofianH,France,Sofian,Hebrard
149,Yoshi,France,Mah̩,Martin
150,MAJ3R,Turkey,Engin,Käpeli
151,face,Sweden,Johan,Klasson
152,Gux,Sweden,Rasmus,St̴hl
153,Jumpy,Sweden,Jimmy,Berndtsson
154,niko,Sweden,Niklas,Johansson
155,Snajdan,Sweden,Mattias,Andersen
156,HaRts,France,Michael,Zanatta
157,ioRek,France,Jeremy,Vuillermet
158,MaT,France,Mathieu,Leber
159,mSx,France,Mickael,Cassisi
160,R!Go-,France,Mathieu,Bridet
161,TaZ,Poland,Wiktor,Wojtas
162,kuben,Poland,Jakub,Gurczynski
163,Loord,Poland,Mariusz,Cybulski
164,LUq,Poland,łukasz,Wnek
165,NEO,Poland,Filip,Kubski
166,KIKOOOO,Brazil,Carlos,Henrique Segal
167,btt,Brazil,Thiago,Monteiro
168,cogu,Brazil,Raphael,Camargo
169,nak,Brazil,Renato,Nakano
170,spacca,Brazil,Guilherme,Spacca
171,ari,Korea,Su-Young,Chung
172,bail,Korea,Sung-Jae,Lee
173,hee,Korea,Jin-Hee,Park
174,solo,Korea,Keun-Chul,Kang
175,termi,Korea,Seon-Ho,Pyeon
176,KangTa,China,Hui,Chen
177,Jewelry,China,Nan,Wang
178,virgo,China,Jiang,Qian
179,zy,China,Yi,Zhou
180,Savage,China,Bin,Liu
185,goodfornothing,United States,Ediz,Basol
186,impulsivE,United States,Derrick,Truong
187,ben,United States,Benjamin,Hui
188,thoMz,United States,Thomas,Garcia
189,hostile,United States,Shaun,Catron
190,mehLer,United States,Dan,Mehler
191,NineSpot,United States,Ryan,Bell
192,Irukandji,United States,Andrew,Timmerman
193,hero,United States,Jeff,Mettetal
194,savi0r,United States,David,Park
195,SPIKEONE,Finland,Matti,Järvinen
196,SpawN,Sweden,Abdisamad,Mohamed
197,striker,Sweden,Emil,Westerberg
198,dafunk,France,Aur̩lien,Guinard
199,fRoD,United States,Danny,Montaner
200,Storm,United States,Tyler,Wood
201,Warden,United States,Matt,Dickens
202,hanes,United States,Corey,Hanes
203,n0thing,United States,Jordan,Gilbert
204,lsw,Korea,Seungwook,Lee
205,glow,Korea,Min-Soo,Kim
206,s0nNy,United States,Hoang,Tran
207,daffsta,United States,Chad,White
208,org,United States,Cyrus,Habibi
209,foogz,United States,Jimmy,Koller
210,StrikeR,United States,Noah,Alvarado
211,evolution,United States,Scott,Cavallero
212,steno,United States,Nazar,Vynnytsky
213,chE,United States,Michael,Guevara
214,quas,United States,Liridon,Ademaj
215,aZn,United States,Kevin,Wang
216,Volcano,United States,Salvatore,Garozzo
217,method,United States,Michael,So
218,sunman,United States,Justin,Summy
219,da_bears,United States,Erik,Stromberg
220,zid,United States,David,Chin
221,nolimit,United States,Blake,Burton
222,TRULS,United States,Chris,Navratil
223,millipede,United States,Alex,Abbott
224,dizzaman,Ireland,Dustin,Dilyerd
225,keefers,United States,Keith,Spies
226,hazard,United States,Alex,Martins
227,iNERTiA,United States,Ric,Bundy
228,sinyster,United States,Corey,Deveraux
229,bzrk,United States,Kevin,Russell
230,tuBBy,United States,Travis,Bechtol
231,kookas,Finland,Konsta,Kaisla
232,Willy,France,William,Depoitte
233,CosMo,France,Warren,Boisnard
234,drizzer,France,Benjamin,Charnet
235,RAD,France,Pierre,Etryhard
236,MonsteR,France,Benoit,Bridet
237,drahmin,France,Victor,Farbos
238,RaZ,France,Sałd,Hallout
239,kUtA,France,Kevin,Dang
240,tiMu,France,Loic,Cicero
241,jiMy,France,Jeremy,Vandini
242,MAVERICK,France,Kevin,Ifourah
243,wetbeng,France,Amans,William
244,Krav,France,Julien,Hernandez
245,mshz,France,Michel,Nguyen
246,Yagu-,France,Vinh,Nguyen
247,Yaki-,France,Guillaume,Alric
248,Geno,France,Guillaume,Ntep
249,TDSI,France,Tristan,Jouanne
250,SHq,France,Gałtan,Varlotta
251,NOtA,Algeria,Kyle,Saadi
252,pressy,France,Benoit,Garcia
253,demzu,France,Geoffrey,Henry
254,Dr.Crow,France,Nicolas,Vaissaud
255,RevZ,France,R̩my,Prieur
256,moderatioN,France,Najim,Mounib
257,Diodel,France,Rodolphe,Verlołs
258,loduN,France,R̩mi,Colas
259,Inthra,France,Inthra,Norindr
260,hedd1,France,David,Thalien
261,DkG,France,Samuel,Keller
262,faoming,France,Jeffrey,Hamadi
263,mpx,France,Patrick,Maupoux
264,dim2k,France,Dimitri,Larue
265,AXION,France,Nabil,Ouache
266,MaYeRs,France,Julien,Riviere
267,OliGan,France,Fr̩d̩ric,Ngor
268,Issam,France,Issam,Iouhassnia
269,jarod,France,Steve,Cohen
270,SLAM,France,Julien,Dubuc
271,bisou,France,Marc,Naoum
272,fRo,France,William,Veggian
273,zoukEr,France,Stephane,Pham
274,Skall,France,Benjamin,Moulon
275,karden,France,J̩r̩my,Kacher
276,westar,France,Florian,Fauchier
277,MANUU,France,Manuel,Boyer
278,bosow,France,Matthieu,Castanier
279,GEOF,France,Geoffroy,Palierne
280,euRazian,France,K̩vin,Paschy
281,mgh,France,Quentin,Chantelot
282,RoScO,France,Oscar,Parrocel
283,damemin,France,Damien,Robert
284,JaCkz,France,Audric,Jug
285,BaaL,France,Pascal,Rouanet
286,MoMaN,Spain,Emmanuel,Marquez
287,bigfoot,France,Sylvain,Terres
288,Milad,Germany,Milad,Zamiri
289,taR,Austria,Tarkan,Bilgili
290,sNic,Austria,Florian,Monghy
291,mazze,Austria,Matthias,Sulek
292,MUKKE,Austria,Paul,Richter
293,headi,Austria,Franz,Langthaler
294,Meggy,Poland,Mariusz,Zabielski
295,FoxeR,Poland,Dawid,Kowal
296,Splash,Poland,Dariusz,Nowakowski
297,sLap,Poland,Jakub,Tatar
298,huxon,Poland,Lukasz,Groszkowski
299,craft1k,Ukraine,Taras,Voitenko
300,lmbt,Ukraine,Sergey,Bezhanov
301,ceh9,Ukraine,Arseny,Trynozhenko
302,kUcheR,Russia,Emil,Akhundov
303,starix,Ukraine,Sergey,Ischuk
304,BEn,Poland,Artur,Ostrach
305,dOK,Poland,Artur,Kaleta
306,pionas,Poland,Filip,Pionka
307,pitek,Poland,Piotr,Radomski
308,tjb,Poland,Jakub,Barczyk
309,ham,Poland,Mateusz,Rosłon
310,jOOLZ,Poland,Filip,Ruszała
311,rDh,Poland,Marcin,Rutkowski
312,ths,Poland,Tomasz,Sopel
313,pepi,Poland,Piotr,Siara
314,RULON,Poland,Adam,Wiłniewski
315,phoen1x,Poland,Damian,Bonislawski
316,myth,Poland,Daniel,Bukalski
317,pashaBiceps,Poland,Jarosław,Jarzłbkowski
318,drive,Poland,łukasz,Snopkiewicz
319,ADi,Poland,Adrian,Szewczyk
