Name,Country,ID
naturally nasty,Sweden,1853
rage!,Denmark,3108
0-32@lan,Sweden,2635
Rise Nation,Canada,7924
SMILE,Sweden,1042
ELTZ,Russia,4800
Illusionists,Spain,918
AIMBAT,Spain,4925
BoomSlave,Poland,4171
pzlate,United States,7090
LMNT,United States,7569
Skywalkers,Bosnia and Herzegovina,3742
asPekt,Poland,3781
zecer,Denmark,1131
23,Ukraine,3099
WAG,Sweden,1864
eUnited,United States,7106
Hong Kong,Other,493
Qlimax,Spain,4960
New4,China,4330
ABTOMAT,Russia,3442
ex-melty fe,France,6082
Playtown,Denmark,9
Gathers,Brazil,6616
neXtPlease!,Romania,2303
SPEEDCLICK,Denmark,4700
SYS-GAMING,Poland,4730
hatersG0nnahate,Sweden,3922
Prophecy,Bulgaria,8032
omogen,Sweden,945
vostro.udito,Denmark,659
redWhite,Sweden,780
TCM,United Kingdom,1694
Hacker Gaming,China,454
ESC Gaming,Poland,4104
r00fz,Norway,772
NP!,Denmark,2881
HKES,Hong Kong,6229
Avicularia,Sweden,1518
BOF.Gaming,China,7562
specto,Denmark,609
MUSE,Singapore,4439
BMP,Serbia,3960
Lemondogs,Sweden,4413
quantuM,Denmark,1381
Bin-Game.ru,Russia,2386
playful secrets,Norway,4106
untitled,Romania,3813
EXECUTORS,Denmark,4362
unsterblich,Norway,1262
elusive,Sweden,3702
roflpopz,Denmark,671
Crowns fe,Sweden,7478
Nepal,Nepal,6316
Meet Your Finisher,Syria,7730
iNNERFiRE fe,Bulgaria,2804
ESC Gaming.de,Germany,1691
mouseSpaz,Canada,4749
Gamehotel,Denmark,109
Sprintfox,Europe,4906
Exdee,South Africa,7647
equipe Jogadores,Denmark,2686
standing Like The soldiers,Denmark,652
Piter,Russia,4289
SUCKOW,Denmark,5644
Feel the Glory,Argentina,7321
yourname,Denmark,921
iNNERFiRE,Bulgaria,377
NARVA,Estonia,4229
HaHa,Finland,982
BHK-Vagant,Germany,1296
THE-NUCLEUS ,Korea,2039
Team KHRN,Finland,5000
GAMEPLAY,Sweden,5276
We Need $,Denmark,4084
Job Seekers,United Kingdom,5794
CyberRevolution,North America,8165
TEAM4NOT.AMD,Romania,4168
Refuse,Denmark,5732
NRG,Denmark,823
dreamWorks ,Brazil,6768
Defacers,Spain,1757
Team Aqua,United States,242
n3b&apos;s Money Crew,United States,8273
NET-UMX,Taiwan,1146
AiRBASE,Poland,3834
Kyro,Denmark,635
Amazing Five,Bulgaria,3837
0970,Sweden,1914
UA,Ukraine,534
EchoMix,United States,6983
zero to hero,Denmark,123
FEMTON,Sweden,2184
HonningQ,Denmark,4839
Israel,Sweden,1906
myRevenge.sk,Slovakia,4069
LDLC fe,France,6749
duki,Sweden,1670
kioShiMa,France,6940
Hidden Potential,United States,6528
el Virgos,Finland,2458
sisäpäivä,Finland,5165
No Problem!,Denmark,5909
Robin Hood,Sweden,7902
MAELSTROM,France,3844
Addiktion,Sweden,4296
Unreal Unit,Russia,2849
GameGear.nu #2,Sweden,1564
56kOnline,Sweden,968
Ethnic,Norway,96
THE CHOSEN ONE,China,5528
team.improved,Denmark,1368
SoF,United States,6438
DiSnEyHeRoEs,Montenegro,3421
Chosen5,Other,7388
Montenegro,Montenegro,5075
FLUGGENKLINGENKEIN,Serbia,6361
PLEiNTEAM,Netherlands,3377
Make it Happen,Ecuador,7306
VenoM,New Zealand,7294
