Dept,CourseName,CourseNumber,Hours,GenEds,Prereqs,Description
Accounting,Introduction to Accounting,ACCTG 110,2 hours,,First-year or sophomore standing,"A course specifically for students who have had no prior study, at any level, of bookkeeping or accounting. All aspects of the accounting cycle are covered. Open to first-year or sophomore students."
Accounting,Fundamentals of Accounting,ACCTG 150,4 hours,,ACCTG 110,"The course provides a basic understanding of financial and managerial accounting concepts, principles and procedures. Emphasis will be placed on the use of accounting information by management, creditors and stockholders. Course coverage includes accounting for inventory, receivables, long-term assets, short and long-term debt, stockholders equity, financial statement analysis, cost behavior analysis, manufacturing operations, budgeting and variance analysis. The prerequisite may be satisfied with a high school accounting/bookkeeping course."
Accounting,Managerial Cost Accounting I,ACCTG 250,4 hours,,ACCTG 150,"This course examines the central role of managerial and cost accounting in the decision-making process of an organization.  Topics include cost-volume-profit analysis, job costing, activity-based costing, flexible budgeting, variance analysis, inventory valuation, and cost behavior."
Accounting,Intermediate Accounting I,ACCTG 353,4 hours,,ACCTG 250 and junior standing,"Deals with financial accounting concepts and practice. Provides an expansion of the basic fundamentals of accounting procedure. Includes intensive coverage of the asset and liability sections of the balance sheet. Student applies accounting theory, standards, principles, and procedures to accounting problems. Requires junior or senior standing."
Accounting,Intermediate Accounting II,ACCTG 354,4 hours,,ACCTG 353,"Further coverage of financial accounting concepts and practice. Includes intensive coverage of the stockholders' equity section of the balance sheet, the statement of changes in financial position, and other special topics, including pension costs, leases, and income tax allocation."
Accounting,Accounting for Government and Nonprofit Entities,ACCTG 357,2 hours,,ACCTG 150 and junior standing,"Introduction to governmental and nonprofit accounting financial reporting principles, procedures, and analysis.  The integration of sustainable decision making into government and nonprofit communities is emphasized.  Junior standing required."
Accounting,Managerial Cost Accounting II,ACCTG 358,4 hours,,ACCTG 250,"Advanced course in managerial and cost accounting concepts and practice.  Topics include profitability analysis, cost allocation methods, cost management, process costing, inventory management, capital budgeting, transfer pricing, and performance measurement."
Accounting,Advanced Accounting,ACCTG 365,4 hours,,ACCTG 354,"Accounting for mergers and consolidations, partnerships, foreign currency transactions, segment reporting, theoretical concepts of value and measurement, and special problems of various industries."
Accounting,Auditing and Assurance Services,ACCTG 467,4 hours,,ACCTG 354 and senior standing,"Emphasizes the analysis of an entity's  business strategy, identification of risks, mapping of business processes, evaluation of internal controls, and the implications of each of those analyses on the quality of financial and non-financial information. The accounting profession's standards and prescribed procedures for financial statement audits are a significant component of the course. Legal responsibilities and professional ethics naturally integrate with the course content. Students learn how accounting professionals exercise judgement, examine client financial statement assertions and document a problem's analysis, the procedures applied, and the conclusions reached. Writing instruction and practice are incorporated to realistically reflect the practice of accounting.  Open only to seniors."
Accounting,Federal Income Taxation,ACCTG 468,4 hours,,ACCTG 354 and senior standing,"Analysis of the individual income tax, with emphasis on the economic and legal effect on the individual taxpayer. Much of the material is relevant to the taxpayer in the business environment, including taxation for the proprietor, partnership, and basic concepts of corporate taxation. Open only to seniors."
Accounting,Seminar,ACCTG 485,"1, 2, or 4 hours",,,
Accounting,Senior Project,ACCTG 490,4 hours,,,The course integrates knowledge and competencies gained from previous accounting courses. Students work in a group environment to study and discuss contemporary issues in accounting theory and practice. Students must demonstrate the ability to investigate a specific area of research and present the results in both a written document and a presentation to an audience of peers and faculty.
Africana Studies,African-American History,AFRS 135,4 hours,"Human Behavior, Historical, Intercultural",,"This course is a survey of African-American history from the 15th century to the present. Eras and topics include the trans-Atlantic slave trade, slavery in the Americas, the Civil War and Emancipation, segregation, the Great Migration, the Great Depression and World War II, the modern black freedom struggle, and the post-civil rights era.  The class emphasizes how African Americans constructed individual and collective selves, created livelihoods, formed families, communities, and institutions, fashioned cultures, defined citizenship, and consistently defied notions of a monolithic ""black community."" Centering African Americans' words, actions, and artistic creations and the ways they interacted with other cultures and peoples within the Americas and abroad, this course investigates how African Americans shaped and were shaped by the many worlds they traversed. (Same as HIST 135)."
Africana Studies,Literature of the African Peoples,AFRS 147,4 hours,"Human Expression—Primary Texts, Historical, Intercultural",PAID 111 or transfer equivalent,"Modern African writers are some of the most dynamic and innovative writers as they draw from and respond to different literary traditions, such as their own oral and written traditions, as well as European models. This course serves as an introduction to the various themes and styles of written literature of the 20th century. Central to discussion will be an analysis of gender within various African cultural contexts. Understanding constructions of masculinity and femininity, dominant female and male roles in society, and the ways in which the works challenge traditional norms of gender will be priorities within applied theoretical approaches. (Same as ENG 147 and WGST 147)"
Africana Studies,History of Africa to 1880,AFRS 171,4 hours,"Human Behavior, Historical",,"Survey of African history from the earliest times to roughly about 1880.  The course begins with the historical development of Africa's still-vital cultural, linguistic, social and economic systems and moves on to examine the Islamic and Christian impact on these systems through the era of Atlantic slave trade.  The course concludes by discussing the ways in which early European colonialism affected the African past. (Same as HIST 171)."
Africana Studies,History of Modern Africa,AFRS 172,4 hours,"Human Behavior, Historical, Intercultural",,This course surveys the history of sub-Saharan Africa from the 1880s to the present.  The course examines African life under European colonial domination (from about 1880 to about 1960) and under independent states which succeeded colonial governments after 1960.  A primary aim of this course is to explore the diversity of human experience in Africa during the colonial and post-colonial periods.  The course makes use of several primary documents to portray ways in which men and women have dealt with the challenges of living in 20th- and 21st-century Africa. (Same as HIST 172)
Africana Studies,Anthropology in East Africa: Forces of Culture Change Among the Massai,AFRS 221,4 hours,"Human Behavior—Social Science Methods, Intercultural",,"The Maasai pastoralists of Tanzania and Kenya are experiencing rapid culture change in response to global, national, and local forces.  In this course we will study ""traditional"" Maasai culture and examine the ways in which the Maasai of northern Tanzania are adapting to changing social, political, economic, and environmental conditions. Topics to be explored include the shift from herding to agropastoralism; the tension between traditional and formal modes of education; the adoption of Christianity in place of or alongside traditional religion; changes in coming-of-age rituals; cultural dimensions of health, illness and healing; challenges to traditional gender ideology; the Maasai relationship to their environment; and the impacts of ecotourism, cultural tourism, and wildlife conservation programs on the pastoral way of life.  From bases near the city of Arusha and the small town of Monduli students will interact with Maasai people in urban and rural marketplaces; in schools, medical facilities, and places of worship; and at Maasai bomas (family compounds) in the bush.  We will also visit the Ngorongoro Crater Conservation area and the Oldoinyo Lengai volcano and pilgrimage routes in in order to explore the tension between pastoralism, wildlife conservation programs, and tourism.  Offered January term. (Same as ANTH 221)"
Africana Studies,The Civil Rights Movement,AFRS 235,4 hours,"Human Behavior, Historical",,"In the mid-twentieth century, black and white Americans fought (and many died) for greater rights and freedoms denied by a justice system enmeshed in Jim Crow inequality.  For the past twenty-five years or so, most American schools taught the Civil Rights Movement as an unparalleled success, but in the 21st century, more and more people are asking why there is racial violence and economic inequality if the Civil Rights Movement accomplished what the high school textbooks say it did.  In this class, we will examine the legal, political, economic, and social reforms that the activists of the Civil Rights Movement demanded, along with the pervasive backlash that limited their successes.  We will use the scholarship from history and Africana Studies to investigate these questions, in addition to a range of primary sources including speeches, music, film, television, memoirs, oral histories, and photography.  (Same as HIST 235)"
Africana Studies,Africana Women's Writing,AFRS 240,4 hours,"Human Expression—Primary Texts, Intercultural",PAID 111 or transfer equivalent,"A study of writing by selected Africana women writers from Africa, the Caribbean, the United States and elsewhere in the African diaspora.  Topics may vary by geographic region or theme. (Same as ENG 240, WGST 240)"
