Country code, Latitude, Longitude, Total mentions, Country name, Region, Continent
MDV, Latitude: 3.25, Longitude: 73, UN general assembly mentions (1970 - 2008): 1002, Maldives, Southern and Central Asia, Asia
FIN, Latitude: 64, Longitude: 26, UN general assembly mentions (1970 - 2008): 1021, Finland, Nordic Countries, Europe
NER, Latitude: 16, Longitude: 8, UN general assembly mentions (1970 - 2008): 1604, Niger, Western Africa, Africa
URY, Latitude: -33, Longitude: -56, UN general assembly mentions (1970 - 2008): 1041, Uruguay, South America, South America
ZWE, Latitude: -20, Longitude: 30, UN general assembly mentions (1970 - 2008): 1288, Zimbabwe, Eastern Africa, Africa
PHL, Latitude: 13, Longitude: 122, UN general assembly mentions (1970 - 2008): 1017, Philippines, Southeast Asia, Asia
SDN, Latitude: 15, Longitude: 30, UN general assembly mentions (1970 - 2008): 2267, Sudan, Northern Africa, Africa
RUS, Latitude: 60, Longitude: 100, UN general assembly mentions (1970 - 2008): 1333, Russian Federation, Eastern Europe, Europe
CHN, Latitude: 35, Longitude: 105, UN general assembly mentions (1970 - 2008): 2001, China, Eastern Asia, Asia
ESP, Latitude: 40, Longitude: -4, UN general assembly mentions (1970 - 2008): 1770, Spain, Southern Europe, Europe
SUR, Latitude: 4, Longitude: -56, UN general assembly mentions (1970 - 2008): 1083, Suriname, South America, South America
ARG, Latitude: -34, Longitude: -64, UN general assembly mentions (1970 - 2008): 1628, Argentina, South America, South America
SLV, Latitude: 13.8333, Longitude: -88.9167, UN general assembly mentions (1970 - 2008): 1137, El Salvador, Central America, North America
MYS, Latitude: 2.5, Longitude: 112.5, UN general assembly mentions (1970 - 2008): 1449, Malaysia, Southeast Asia, Asia
NPL, Latitude: 28, Longitude: 84, UN general assembly mentions (1970 - 2008): 1666, Nepal, Southern and Central Asia, Asia
PRT, Latitude: 39.5, Longitude: -8, UN general assembly mentions (1970 - 2008): 1842, Portugal, Southern Europe, Europe
COL, Latitude: 4, Longitude: -72, UN general assembly mentions (1970 - 2008): 1043, Colombia, South America, South America
BLR, Latitude: 53, Longitude: 28, UN general assembly mentions (1970 - 2008): 1355, Belarus, Eastern Europe, Europe
MAR, Latitude: 32, Longitude: -5, UN general assembly mentions (1970 - 2008): 2152, Morocco, Northern Africa, Africa
LCA, Latitude: 13.8833, Longitude: -61.1333, UN general assembly mentions (1970 - 2008): 1049, Saint Lucia, Caribbean, North America
EGY, Latitude: 27, Longitude: 30, UN general assembly mentions (1970 - 2008): 2859, Egypt, Northern Africa, Africa
MEX, Latitude: 23, Longitude: -102, UN general assembly mentions (1970 - 2008): 1278, Mexico, Central America, North America
BEL, Latitude: 50.8333, Longitude: 4, UN general assembly mentions (1970 - 2008): 1226, Belgium, Western Europe, Europe
BRN, Latitude: 4.5, Longitude: 114.6667, UN general assembly mentions (1970 - 2008): 299, Brunei, Southeast Asia, Asia
RWA, Latitude: -2, Longitude: 30, UN general assembly mentions (1970 - 2008): 1819, Rwanda, Eastern Africa, Africa
CAN, Latitude: 60, Longitude: -95, UN general assembly mentions (1970 - 2008): 1514, Canada, North America, North America
ALB, Latitude: 41, Longitude: 20, UN general assembly mentions (1970 - 2008): 2864, Albania, Southern Europe, Europe
GRC, Latitude: 39, Longitude: 22, UN general assembly mentions (1970 - 2008): 1877, Greece, Southern Europe, Europe
KNA, Latitude: 17.3333, Longitude: -62.75, UN general assembly mentions (1970 - 2008): 626, Saint Kitts and Nevis, Caribbean, North America
GUY, Latitude: 5, Longitude: -59, UN general assembly mentions (1970 - 2008): 1128, Guyana, South America, South America
LBR, Latitude: 6.5, Longitude: -9.5, UN general assembly mentions (1970 - 2008): 2108, Liberia, Western Africa, Africa
ATG, Latitude: 17.05, Longitude: -61.8, UN general assembly mentions (1970 - 2008): 915, Antigua and Barbuda, Caribbean, North America
MOZ, Latitude: -18.25, Longitude: 35, UN general assembly mentions (1970 - 2008): 2056, Mozambique, Eastern Africa, Africa
JPN, Latitude: 36, Longitude: 138, UN general assembly mentions (1970 - 2008): 2659, Japan, Eastern Asia, Asia
YDYE, Democratic Yemen, Middle East
GAB, Latitude: -1, Longitude: 11.75, UN general assembly mentions (1970 - 2008): 1306, Gabon, Central Africa, Africa
BGD, Latitude: 24, Longitude: 90, UN general assembly mentions (1970 - 2008): 1335, Bangladesh, Southern and Central Asia, Asia
SWE, Latitude: 62, Longitude: 15, UN general assembly mentions (1970 - 2008): 1309, Sweden, Nordic Countries, Europe
TUR, Latitude: 39, Longitude: 35, UN general assembly mentions (1970 - 2008): 2183, Turkey, Middle East, Asia
TCD, Latitude: 15, Longitude: 19, UN general assembly mentions (1970 - 2008): 2103, Chad, Central Africa, Africa
SYR, Latitude: 35, Longitude: 38, UN general assembly mentions (1970 - 2008): 3142, Syria, Middle East, Asia
CMR, Latitude: 6, Longitude: 12, UN general assembly mentions (1970 - 2008): 1189, Cameroon, Central Africa, Africa
JAM, Latitude: 18.25, Longitude: -77.5, UN general assembly mentions (1970 - 2008): 1264, Jamaica, Caribbean, North America
LUX, Latitude: 49.75, Longitude: 6.1667, UN general assembly mentions (1970 - 2008): 1353, Luxembourg, Western Europe, Europe
ITA, Latitude: 42.8333, Longitude: 12.8333, UN general assembly mentions (1970 - 2008): 1488, Italy, Southern Europe, Europe
AGO, Latitude: -12.5, Longitude: 18.5, UN general assembly mentions (1970 - 2008): 2003, Angola, Central Africa, Africa
CRI, Latitude: 10, Longitude: -84, UN general assembly mentions (1970 - 2008): 1383, Costa Rica, Central America, North America
CSK, Czechoslovakia, Eastern Europe
BFA, Latitude: 13, Longitude: -2, UN general assembly mentions (1970 - 2008): 1269, Burkina Faso, Western Africa, Africa
MNG, Latitude: 46, Longitude: 105, UN general assembly mentions (1970 - 2008): 1794, Mongolia, Eastern Asia, Asia
BHR, Latitude: 26, Longitude: 50.55, UN general assembly mentions (1970 - 2008): 1988, Bahrain, Middle East, Asia
HTI, Latitude: 19, Longitude: -72.4167, UN general assembly mentions (1970 - 2008): 1637, Haiti, Caribbean, North America
OMN, Latitude: 21, Longitude: 57, UN general assembly mentions (1970 - 2008): 1518, Oman, Middle East, Asia
